"","ids","dataset.name","NumberOfFeatures","NumberOfInstances","NumberOfClasses","MajorityClassSize","MinorityClassSize","minmaj"
"63",475,"analcatdata_germangss",6,400,4,100,100,1
"64",481,"biomed",9,209,2,134,75,0.559701492537313
"65",679,"rmftsa_sleepdata",3,1024,4,404,94,0.232673267326733
"66",685,"visualizing_livestock",3,130,5,26,26,1
"67",694,"diggle_table_a2",9,310,9,41,18,0.439024390243902
"68",1037,"ada_prior",15,4562,2,3430,1132,0.33002915451895
"69",1043,"ada_agnostic",49,4562,2,3430,1132,0.33002915451895
"70",1048,"jEdit_4.2_4.3",9,369,2,204,165,0.808823529411765
"71",1049,"pc4",38,1458,2,1280,178,0.1390625
"72",1050,"pc3",38,1563,2,1403,160,0.114041339985745
"73",1054,"mc2",40,161,2,109,52,0.477064220183486
"74",1056,"mc1",39,9466,2,9398,68,0.00723558203873165
"75",1061,"ar4",30,107,2,87,20,0.229885057471264
"76",1063,"kc2",22,522,2,415,107,0.257831325301205
"77",1064,"ar6",30,101,2,86,15,0.174418604651163
"78",1065,"kc3",40,458,2,415,43,0.103614457831325
"79",1066,"kc1-binary",95,145,2,85,60,0.705882352941177
"80",1067,"kc1",22,2109,2,1783,326,0.182837913628716
"81",1068,"pc1",22,1109,2,1032,77,0.0746124031007752
"82",1069,"pc2",37,5589,2,5566,23,0.00413223140495868
"83",1071,"mw1",38,403,2,372,31,0.0833333333333333
"84",1073,"jEdit_4.0_4.2",9,274,2,140,134,0.957142857142857
"85",1075,"datatrieve",9,130,2,119,11,0.092436974789916
"86",1100,"PopularKids",11,478,3,247,90,0.364372469635628
"87",1115,"teachingAssistant",7,151,3,52,49,0.942307692307692
"88",1121,"badges2",12,294,2,210,84,0.4
"89",1167,"pc1_req",9,320,2,213,107,0.502347417840376
"90",1442,"MegaWatt1",38,253,2,226,27,0.119469026548673
"91",1443,"PizzaCutter1",38,661,2,609,52,0.0853858784893268
"92",1444,"PizzaCutter3",38,1043,2,916,127,0.138646288209607
"93",1446,"CostaMadre1",38,296,2,258,38,0.147286821705426
"94",1447,"CastMetal1",38,327,2,285,42,0.147368421052632
"95",1451,"PieChart1",38,705,2,644,61,0.0947204968944099
"96",1452,"PieChart2",37,745,2,729,16,0.0219478737997256
"97",1453,"PieChart3",38,1077,2,943,134,0.142099681866384
"98",1455,"acute-inflammations",7,120,2,70,50,0.714285714285714
"99",1456,"appendicitis",8,106,NA,NA,NA,NA
"100",1459,"artificial-characters",8,10218,10,1416,600,0.423728813559322
"101",1462,"banknote-authentication",5,1372,2,762,610,0.800524934383202
"102",1463,"blogger",6,100,2,68,32,0.470588235294118
"103",1464,"blood-transfusion-service-center",5,748,2,570,178,0.312280701754386
"104",1465,"breast-tissue",10,106,6,22,14,0.636363636363636
"105",1466,"cardiotocography",36,2126,10,579,53,0.0915371329879102
"106",1468,"cnae-9",857,1080,9,120,120,1
"107",1473,"fertility",10,100,2,88,12,0.136363636363636
"108",1475,"first-order-theorem-proving",52,6118,6,2554,486,0.190289741581832
"109",1479,"hill-valley",101,1212,2,606,606,1
"110",1480,"ilpd",11,583,2,416,167,0.401442307692308
"111",1484,"lsvt",311,126,2,84,42,0.5
"112",1487,"ozone-level-8hr",73,2534,2,2374,160,0.067396798652064
"113",1488,"parkinsons",23,195,2,147,48,0.326530612244898
"114",1489,"phoneme",6,5404,2,3818,1586,0.415400733368256
"115",1492,"one-hundred-plants-shape",65,1600,100,16,16,1
"116",1494,"qsar-biodeg",42,1055,2,699,356,0.509298998569385
"117",1495,"qualitative-bankruptcy",7,250,2,143,107,0.748251748251748
"118",1496,"ringnorm",21,7400,2,3736,3664,0.980728051391863
"119",1497,"wall-robot-navigation",25,5456,4,2205,328,0.14875283446712
"120",1498,"sa-heart",10,462,2,302,160,0.529801324503311
"121",1504,"steel-plates-fault",34,1941,2,1268,673,0.530757097791798
"122",1506,"thoracic-surgery",17,470,2,400,70,0.175
"123",1507,"twonorm",21,7400,2,3703,3697,0.998379692141507
"124",1510,"wdbc",31,569,2,357,212,0.593837535014006
"125",1511,"wholesale-customers",9,440,2,298,142,0.476510067114094
"126",1512,"heart-long-beach",14,200,5,56,10,0.178571428571429
"127",1519,"robot-failures-lp4",91,117,3,72,21,0.291666666666667
"128",1520,"robot-failures-lp5",91,164,5,47,21,0.446808510638298
"129",1523,"vertebra-column",7,310,3,150,60,0.4
"130",1528,"volcanoes-a2",4,1623,5,1471,29,0.0197144799456152
"131",1529,"volcanoes-a3",4,1521,5,1369,29,0.0211833455076698
"132",1531,"volcanoes-b1",4,10176,5,9791,26,0.00265549994893269
"133",1533,"volcanoes-b3",4,10386,5,10006,25,0.00249850089946032
"134",1535,"volcanoes-b5",4,9989,5,9599,26,0.00270861548077925
"135",1536,"volcanoes-b6",4,10130,5,9746,26,0.00266776113277242
"136",1539,"volcanoes-d2",4,9172,5,8670,56,0.00645905420991926
"137",1540,"volcanoes-d3",4,9285,5,8771,58,0.00661270094630031
"138",1547,"autoUniv-au1-1000",21,1000,2,741,259,0.349527665317139
"139",1549,"autoUniv-au6-750",41,750,8,165,57,0.345454545454545
"140",1551,"autoUniv-au6-400",41,400,8,111,25,0.225225225225225
"141",1552,"autoUniv-au7-1100",13,1100,5,305,153,0.501639344262295
"142",1554,"autoUniv-au7-500",13,500,5,192,43,0.223958333333333
"143",1556,"acute-inflammations",7,120,2,61,59,0.967213114754098
"144",1558,"bank-marketing",17,4521,2,4000,521,0.13025
"145",1559,"breast-tissue",10,106,4,49,14,0.285714285714286
"146",1566,"hill-valley",101,1212,2,612,600,0.980392156862745
"147",1570,"wilt",6,4839,2,4578,261,0.0570117955439056
"148",1600,"SPECTF",45,267,2,212,55,0.259433962264151
"149",4534,"PhishingWebsites",31,11055,2,6157,4898,0.79551729738509
"150",4550,"MiceProtein",82,1080,8,150,105,0.7
"151",6332,"cylinder-bands",40,540,2,312,228,0.730769230769231
"152",23380,"cjs",35,2796,6,680,274,0.402941176470588
"153",40474,"thyroid-allbp",27,2800,5,1632,31,0.0189950980392157
"154",40475,"thyroid-allhyper",27,2800,5,1632,31,0.0189950980392157
"155",40496,"LED-display-domain-7digit",8,500,10,57,37,0.649122807017544
"156",40499,"texture",41,5500,11,500,500,1
