dataset,Class,simple.classes,simple.attributes,simple.numeric,simple.nominal,simple.samples,simple.dimensionality,simple.numeric_rate,simple.nominal_rate,simple.symbols_min,simple.symbols_max,simple.symbols_mean,simple.symbols_sd,simple.symbols_sum,simple.class_prob_min,simple.class_prob_max,simple.class_prob_mean,simple.class_prob_sd,statistical.skewness,statistical.skewness_prep,statistical.kurtosis,statistical.kurtosis_prep,statistical.abs_cor,statistical.cancor_1,statistical.fract_1,inftheo.class_entropy,inftheo.normalized_class_entropy,inftheo.attribute_entropy,inftheo.normalized_attribute_entropy,inftheo.joint_entropy,inftheo.mutual_information,inftheo.equivalent_attributes,inftheo.noise_signal_ratio,modelbased.nodes,modelbased.leaves,modelbased.nodes_per_attribute,modelbased.nodes_per_instance,modelbased.leaf_corrobation,modelbased.level_min,modelbased.level_max,modelbased.level_mean,modelbased.level_sd,modelbased.branch_min,modelbased.branch_max,modelbased.branch_mean,modelbased.branch_sd,modelbased.attribute_min,modelbased.attribute_max,modelbased.attribute_mean,modelbased.attribute_sd,landmarking.naive_bayes,landmarking.stump_min,landmarking.stump_max,landmarking.stump_mean,landmarking.stump_sd,landmarking.stump_min_gain,landmarking.stump_random,landmarking.nn_1,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,t2,edges,degree,density,maxComp,closeness,betweenness,clsCoef,hubs,avgPath,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.coef_min,ela_meta.lin_w_interact.coef_max,ela_meta.quad_simple.adj_r2,ela_disp.ratio_mean_02,ela_disp.ratio_median_02,ela_disp.diff_mean_02,ela_disp.dist_all_mean,ela_ic.h_max,ela_ic.eps_s,ela_ic.eps_ratio,ela_ic.h_zero,ela_ic.m0,ela_cm.mean_ofs_10,ela_cm.sd_ofs_10,ela_cm.n_cells,ela_cm.coverage,ela_lc.r_pearson_dist_centroid,ela_lc.r_pearson_nn,ela_lc.y_std,ela_lc.y_skewness,ela_lc.y_kurtosis,nbc.nn_nb.dist.ratio.mean,nbc.nn_nb.dist.ratio.sd,nbc.nb.fitness.ratio.mean,nbc.nb.fitness.ratio.sd,nbc.n_candidates,nbc.dist.ratio.coeff_var,fdc.r,fdc.p_value,fdc.dist.mean,fdc.dist.sd,fdc.slope,gh.mean,gh.sd,gh.norm.mean,gh.norm.sd,gh.angle.mean,gh.neg_ratio,ls.mean,ls.min,ls.max,ls.ratio,ls.log_mean,ls.lml,sample.n,sample.y_min,sample.y_max,sample.y_mean
1473_fertility,Tuning,2.0,9.0,9.0,0.0,100.0,0.09,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.12,0.88,0.5,0.537401,0.641454,0.641454,2.75136,2.75136,0.194426,0.344723,1.0,0.366925,0.529361,0.86304,0.374813,0.366925,0.014072,26.073973,60.328257,3.0,4.0,0.333333,0.03,0.25,2.0,2.0,2.0,0.0,2.0,4.0,3.25,0.957427,0.0,1.0,0.333333,0.5,0.87,0.88,0.88,0.88,0.0,0.88,0.88,0.84,0.194,0.77,0.384,0.02,0.05,0.24,0.12,0.5,0.27,0.577,0.17,0.375,0.98,11.111,722.0,14.44,0.145859,88.0,0.000644,46.97,0.455149,0.525339,2.225967,0.0862241123731574,0.2796064842533373,-0.0015381721115649,0.0022182682804332,0.1623953817348385,0.7193174419536705,0.6764369989882251,-4.376510967567363,15.69799645487634,2.0618215414741563,0.0,500000000000.0,2.0618215414741563,0.6767225574185807,0.0478219715816602,0.0092672467334224,25.0,1.0,-0.0246672415936548,0.5283552682805153,0.0799785752566998,3.708686219436952,15.532462167742352,92.49176136474766,201.9049963669734,0.8985842363997865,0.1152213998003148,6.666666666666667e-05,2.182951144921383,-0.3825262708797619,0.0,16.414101959233506,7.538817317247594,-0.0040574246861896,1.4801740092568038e-05,0.3059388238965288,0.1634586944370439,0.4579929252440873,79.97572337232674,0.2199,1.1693193527093722,1.1677792439876808,1.1708594614310632,1.00263767099667,0.0679331374911283,-239.04545552016785,30000.0,0.404795821462488,0.767094017094017,0.5060932652738208
1475_first-order-theorem-proving,Tuning,6.0,51.0,51.0,0.0,5636.0,0.009049,1.0,0.0,6.0,6.0,6.0,0.0,6.0,0.080021,0.411994,0.166667,0.124817,4.123905,4.123905,49.889011,49.889011,0.256059,0.443804,0.456559,1.601071,0.893575,1.140462,0.264149,1.601071,0.03572,44.822517,30.927605,6.0,7.0,0.117647,0.001065,0.142857,2.0,4.0,2.4,0.894427,2.0,6.0,4.428571,1.397276,0.0,1.0,0.117647,0.325396,0.178495,0.411994,0.427608,0.412854,0.003476,0.411994,0.413449,0.559439,0.082,0.428667,9.9e-05,0.036,0.415,0.3335,0.166667,0.5,0.637,0.917,0.463,0.75,0.998,110.51,1078383.0,352.52795,0.057631,2554.0,0.0,703.266754,0.126611,0.708,1.942496,0.5226064413789208,0.271017011276472,-0.0089680416579805,0.0259031557462291,0.7304386799416336,0.9908138949465372,0.9288942145426357,-0.1141472522620574,15.67531365879787,2.4771260603002028,0.01,49.999999995,2.1966703059544805,0.4005800193339778,0.3092598330420935,0.0375909546424846,25.0,1.0,-0.2961967049829926,0.997831601322424,0.3302160412152997,0.8931397572746224,-0.7585574738701775,52.33578422363582,139.31225675666508,0.8898109104436098,0.1036400204502809,3.3333333333333335e-05,2.6618929824643076,0.2256213510820025,0.0,16.798630765976203,7.435526265735341,0.0100200297191735,0.014812619973921,0.4288541271876218,0.0941306340819724,0.1285644199545605,68.13213379345653,0.3314333333333333,4.350513214363855,3.7393729739565127,4.961653454771197,1.326867763479635,0.6385404921315647,83.98380910136424,30000.0,0.166108376347455,0.430183799926448,0.237698821309718
1479_hill-valley,Tuning,2.0,100.0,100.0,0.0,1212.0,0.082508,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.5,0.5,0.5,0.0,3.008036,3.008036,12.615729,12.615729,0.992225,0.421947,1.0,0.693147,1.0,0.81382,0.2289,0.693147,0.005216,132.881469,155.015375,3.0,4.0,0.03,0.002475,0.25,2.0,2.0,2.0,0.0,2.0,4.0,3.25,0.957427,0.0,1.0,0.03,0.171447,0.510726,0.534653,0.542079,0.538548,0.001582,0.541254,0.539604,0.60066,0.003,0.0,0.001,0.007,0.705,0.986,0.498,0.499,0.554,0.951,0.399,0.457,1.0,12.12,74160.0,122.376238,0.101054,606.0,1e-06,818.235149,0.200553,0.77248,3.706407,0.7652078819425434,0.3330472122026044,0.0045425593192771,0.0232496730845324,0.937240294790726,0.8131995520363372,0.7108416152979248,-2.8755139200031277,15.641337200698606,2.91151593472116,0.01,49.999999995,2.008462997676898,0.0055335177839261,0.223227571024912,0.026710760849555,25.0,1.0,0.1543857374590118,0.9771460334513442,0.2350589356048586,0.8652807514169439,-0.6635473659596034,2.646998446587153,6.705099374108544,0.8727483110979354,0.1281979296438358,3.3333333333333335e-05,2.5330953188699747,0.3750524164043637,0.0,12.928573337732542,5.735365422333007,0.0153709313454925,0.007854399401726,0.7070689003977718,0.2480649960930009,0.2146185739526852,66.13914173528042,0.5273,1.9671201608608475,1.8156768791251203,2.118563442596575,1.1668174370410185,0.2938308894594238,-124.76530740440568,30000.0,0.466309473215551,0.744449841134924,0.5594620260187939
1480_ilpd,Tuning,2.0,10.0,9.0,1.0,583.0,0.017153,0.9,0.1,2.0,2.0,2.0,0.0,4.0,0.286449,0.713551,0.5,0.302006,2.674483,2.518022,20.318655,18.515442,0.198598,0.34665,1.0,0.598942,0.86409,0.940207,0.358468,0.654127,0.018592,32.215811,49.571757,19.0,20.0,1.9,0.03259,0.05,2.0,6.0,3.8,1.135292,2.0,11.0,7.75,2.788605,0.0,6.0,1.9,2.024846,0.555746,0.713551,0.713551,0.713551,0.0,0.713551,0.713551,0.655232,0.222,0.436,1.9e-05,0.111,0.228,0.573,0.286,0.5,0.496,0.7,0.345,0.38,0.998,58.3,22544.0,77.337907,0.132883,416.0,8e-06,208.358491,0.297297,0.657358,2.220239,0.2085986095060279,0.1589879820078131,-0.0023766449581009,0.0080846799727995,0.384372073134228,2.0095232092329782,2.0704613873520517,7.939555668678699,15.684456465928692,1.5672086430595376,0.001,499.9999995,1.5522540260697832,0.7221240708023601,0.1383026593131224,0.0177758037108677,25.0,1.0,-0.183750689258588,0.8987501314758398,0.1599318023343927,2.3056872294393176,4.246589295576167,88.75713934585488,183.7976612559417,0.8494734654059467,0.1170524723633953,3.3333333333333335e-05,2.0707929819565924,-0.2235985130632982,0.0,12.15651025957069,5.019720450720392,-0.0071240059569531,0.0001973016973128,0.2158199400361655,0.1781890547294833,0.4423580863536229,82.2952754464638,0.1472666666666666,1.8275481458667135,1.1817627919916982,2.473333499741729,2.0929187452002727,0.2618688270576665,-181.82453363272137,30000.0,0.483572686627828,0.665490130478421,0.51253940280969
1484_lsvt,Tuning,2.0,310.0,310.0,0.0,126.0,2.460317,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.333333,0.666667,0.5,0.235702,2.591995,2.591995,15.644969,15.644969,0.294537,1.0,1.0,0.636514,0.918296,0.740077,0.308636,0.636514,0.031295,20.339452,22.648734,2.0,3.0,0.006452,0.015873,0.333333,2.0,2.0,2.0,0.0,2.0,3.0,2.666667,0.57735,0.0,1.0,0.006452,0.080192,0.531746,0.666667,0.81746,0.689478,0.03934,0.666667,0.666667,0.753968,0.959,77.979,0.0,0.302,0.984,0.56,0.119,0.115,0.373,0.887,0.246,0.056,1.0,0.41,784.0,12.444444,0.099556,84.0,0.000147,101.484127,0.184319,0.756645,4.12249,0.3951944064447943,0.1247206372255284,-0.0144361051390128,0.011447787078046,0.6366081702206463,2.1992673644702574,2.2234825714931867,8.158073725260826,15.683614020872062,1.133725853678763,0.01,49.999999995,1.0705053217445826,0.8233941131371045,0.2180408607457087,0.0301186290168401,25.0,1.0,0.1633050167434885,0.984455652838006,0.2547683638638224,1.9990470062463963,2.2192045277004144,210.88171373784493,425.68242623530926,0.1515483100777719,0.3345523665658669,6.666666666666667e-05,2.018583871925895,-0.4544942773318926,0.0,13.130814116763668,5.895263493264289,-0.0196415690112136,0.0004120397281576,0.1296910303048424,0.1013291901824135,0.276980032436952,84.74875824990221,0.0781333333333333,2.551323907535664,1.0571455362923885,4.045502278778939,3.826816781503389,0.4067655986826503,-120.29385123252962,30000.0,0.493589743589744,0.91991452991453,0.547108037037037
1487_ozone-level-8hr,Tuning,2.0,72.0,72.0,0.0,2526.0,0.028504,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.063341,0.936659,0.5,0.617529,0.71679,0.71679,4.447025,4.447025,0.326277,0.420737,1.0,0.236064,0.340568,2.078224,0.53124,0.236064,0.018969,12.444653,108.558406,31.0,32.0,0.430556,0.012272,0.03125,2.0,14.0,6.888889,4.702245,2.0,10.0,7.5625,1.721543,0.0,3.0,0.430556,0.747322,0.686461,0.936659,0.938638,0.936686,0.000233,0.936659,0.936725,0.921219,0.808,2.194,0.0,0.256,0.719,0.132,0.063,0.5,0.12,0.673,0.079,0.242,1.0,35.083,566509.0,447.126283,0.17652,2374.0,2e-06,1318.328729,0.444656,0.610732,2.181126,0.3083583037616157,0.0908263030701449,-0.0092164466766156,0.0110873344841194,0.5000526489972918,2.1668356199771437,2.2013441023197946,8.182512091228762,15.64686933906715,1.197519283832402,0.01,49.999999995,1.148357484540843,0.8168605620187339,0.2071744508323161,0.0293803066632272,25.0,1.0,0.0865531281962357,0.9862617922594362,0.2252509073931307,2.38447929138217,4.137690789434128,193.40381605287695,416.5055143884943,0.5453566250303126,0.1676013332680332,3.3333333333333335e-05,2.1535537554989026,-0.5328452851899989,0.0,17.50048238738381,7.846635036722483,-0.0152964364529939,0.0005270683878546,0.14138006924311,0.0821181584794296,0.2264509251945405,83.90848292303724,0.0892,3.707716795785584,0.6256685904208983,6.789765001150269,10.852015116456178,0.569106554295462,-151.91339773009875,30000.0,0.499530516431925,0.739750119191879,0.5215148199728985
1488_parkinsons,Tuning,2.0,22.0,22.0,0.0,195.0,0.112821,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.246154,0.753846,0.5,0.358993,1.414976,1.414976,6.623472,6.623472,0.443076,0.701957,1.0,0.55807,0.805125,1.007683,0.381834,0.55807,0.081545,6.843701,11.357375,4.0,5.0,0.181818,0.020513,0.2,2.0,4.0,2.666667,1.154701,3.0,4.0,3.4,0.547723,0.0,1.0,0.181818,0.394771,0.697436,0.753846,0.866667,0.787646,0.039396,0.753846,0.866667,0.964103,1.517,3.641,0.0,0.359,0.99,0.555,0.246,0.5,0.133,0.469,0.036,0.192,1.0,8.864,2495.0,25.589744,0.131906,147.0,8.6e-05,101.092308,0.261527,0.715863,2.535738,0.4372931958710072,0.1631995242762367,-0.0133742030992375,0.0172394476391783,0.6343381162556552,1.7500215415118636,1.73018360290742,6.51332336998707,15.689040926605475,1.722198481528748,0.01,49.999999995,1.606777269614741,0.6947231574385813,0.2553107022432392,0.0328495102839756,25.0,1.0,-0.0977442582233745,0.9856535415775036,0.2869610902632165,1.4064006837212937,0.3268234004838382,2.478980732740467,6.406824728002102,0.8143346450776169,0.2553529952374516,0.6947333333333333,2.5844592672234654,-0.0810045821290208,7.416929486973729e-45,14.27716506223069,6.665173153870341,-0.00348759478858,0.0006538826316074,0.226696999970575,0.1383381292507658,0.2897978249548617,81.07802468550321,0.1563333333333333,2.507591455846615,0.7563266720396762,4.258856239653554,5.630974547231764,0.3992567813916161,-152.45905687373062,30000.0,0.5,0.954256854256854,0.5747717937309604
1489_phoneme,Tuning,2.0,5.0,5.0,0.0,5404.0,0.000925,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.293486,0.706514,0.5,0.292054,0.81705,0.81705,3.709803,3.709803,0.153697,0.497794,1.0,0.605244,0.873182,2.247152,0.5221,0.605244,0.092708,6.528499,23.239042,15.0,16.0,3.0,0.002776,0.0625,2.0,8.0,5.0,2.097618,3.0,7.0,5.6875,1.352467,2.0,5.0,3.0,1.224745,0.761658,0.706514,0.754626,0.722761,0.02287,0.706514,0.706514,0.907661,0.27,0.174,0.271,0.122,0.135,0.667,0.257,0.346,0.199,0.269,0.092,0.27,0.986,1080.8,1897175.0,702.137306,0.129953,3818.0,0.0,1579.020355,0.297209,0.689367,2.030064,0.4855002813695548,0.3107314268394059,-0.0104697638806438,0.026636164445861,0.7189609127507549,1.0259235830506503,0.9676957769650956,0.3184996357434126,15.626703104049597,2.424799525497675,0.01,49.999999995,2.2075215698168087,0.4159805326844228,0.330232217669353,0.0386781429983744,25.0,1.0,-0.4009871347120921,0.9986215919301888,0.3564284019613118,0.6252103003638396,-1.2942088981155184,79.67813421823355,220.03542042318833,0.7709830317117122,0.2534609144627115,3.3333333333333335e-05,2.7615533744869323,0.1964347620569768,1.116635805146503e-258,12.230011068457737,5.083991338587001,0.0137717034576618,0.0072023585901441,0.4207208318454447,0.0857440974161896,0.1248482870157014,68.53863012094813,0.3590333333333333,4.0004976938225765,3.4873500976222114,4.513645290022941,1.2942908408017872,0.6021140243868562,74.76503555025695,30000.0,0.499709133216987,0.869138063395686,0.6136740584804824
1490_planning-relax,Defaults,2.0,12.0,12.0,0.0,182.0,0.065934,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.285714,0.714286,0.5,0.303046,0.307841,0.307841,3.345649,3.345649,0.223603,0.146523,1.0,0.59827,0.863121,1.327449,0.517534,0.59827,0.007753,77.169498,170.224712,8.0,9.0,0.666667,0.043956,0.111111,2.0,4.0,2.285714,0.755929,2.0,8.0,5.666667,2.236068,0.0,5.0,0.666667,1.435481,0.708791,0.714286,0.714286,0.714286,0.0,0.714286,0.714286,0.631868,0.006,0.045,0.072,0.102,0.438,0.568,0.284,0.5,0.619,0.963,0.403,0.347,1.0,14.667,2048.0,22.505495,0.12434,130.0,8.6e-05,51.532967,0.282775,0.473324,1.955754,0.0919691503053785,0.617351820795796,-0.0020549884084835,0.0012936509395107,0.1566735057581554,0.3998284998519848,0.3812311244093747,-9.383577528661148,15.661679542438634,0.9804033594778236,0.01,49.999999995,0.9511695536149108,0.8574619153971799,0.044349085004338,0.0080459274444473,25.0,1.0,-0.0171198713506482,0.5805071003131907,0.0692389335704883,-3.715928521161286,18.408808064292216,133.70420407325005,378.834093545422,0.936736713358252,0.0892674304823432,3.3333333333333335e-05,2.833374583628457,0.377559342081646,0.0,18.095659076604935,7.934605831722012,0.0032903460906282,2.302405828353001e-05,0.1104044395047576,0.1164843239999009,0.3981580046154187,85.90070940101576,0.0777333333333333,0.9614490058477444,0.6959390084439563,1.2269590032515325,1.7630266278550988,-0.0170737452952893,-242.51377788770495,30000.0,0.353801169590643,0.584850640113798,0.4963993050945682
1491_one-hundred-plants-margin,Tuning,100.0,64.0,64.0,0.0,1600.0,0.04,1.0,0.0,100.0,100.0,100.0,0.0,100.0,0.01,0.01,0.01,0.0,0.818981,0.818981,3.421019,3.421019,0.239439,0.987148,0.046158,4.60517,1.0,1.356927,0.367843,4.60517,0.64422,7.148441,1.106309,5.0,6.0,0.078125,0.003125,0.166667,2.0,2.0,2.0,0.0,2.0,6.0,4.333333,1.632993,0.0,1.0,0.078125,0.27049,0.970625,0.01,0.02,0.018594,0.003504,0.02,0.02,0.736875,7.907,7.57436,0.0,1.0,1.0,0.02219,0.01,0.5,0.411,0.86,0.263,0.018,1.0,25.0,11756.0,14.695,0.00919,16.0,0.0,0.154375,0.72,0.988633,1.125,0.7056178336483124,0.4120785629558022,-0.0327116212570203,0.0078600761506301,0.7666698899610843,0.7753633508690143,0.696546473157866,-3.095340787438312,15.658865360541242,2.76073572933927,0.01,49.999999995,2.431154000511057,0.2520084002800093,0.3155634274299214,0.040578560695013,25.0,1.0,-0.0653133778914956,0.997029648289724,0.3469072128096024,0.2477026428845417,-1.2058733109487725,2.4344181217861727,6.470470794543931,0.9265752939487212,0.1490823024448963,0.2496666666666666,2.657912680092022,0.7370014503990231,0.0,16.179704110867174,7.410962974893413,0.0344988025558055,0.0139554044032887,0.5502740015226748,0.1304943527002727,0.1586965883671427,61.46837539488247,0.4480333333333333,3.349570412716191,1.836230594022839,4.862910231409543,2.648311299918582,0.5249891117085832,-5.773464755661394,30000.0,0.01,0.8405,0.3527679611111111
1492_one-hundred-plants-shape,Tuning,100.0,64.0,64.0,0.0,1600.0,0.04,1.0,0.0,100.0,100.0,100.0,0.0,100.0,0.01,0.01,0.01,0.0,0.527716,0.527716,2.833357,2.833357,0.582035,0.976942,0.09082,4.60517,1.0,1.65931,0.449814,4.60517,1.046318,4.401312,0.585857,5.0,6.0,0.078125,0.003125,0.166667,2.0,4.0,2.5,1.0,2.0,5.0,4.0,1.095445,0.0,1.0,0.078125,0.27049,0.6275,0.02,0.02,0.02,0.0,0.02,0.02,0.645,12.665,2.60016,0.0,1.0,1.0,0.02062,0.01,0.5,0.582,0.861,0.355,0.257,1.0,25.0,10932.0,13.665,0.008546,16.0,0.0,0.66125,0.35,0.963659,1.0,0.5759145010580475,0.4351915969092188,-0.0223918557214864,0.0111256054387303,0.788683900290922,0.6823775400329757,0.6075654410280569,-4.727654782157522,15.660182054180044,3.0390821827676073,0.01,49.999999995,2.264007004270368,0.0588352945098169,0.2632014422687351,0.0367769552368679,25.0,1.0,-0.1952269997438291,0.9953116870198058,0.2838616365492063,0.419981509158903,-0.6325155935386215,2.5525254753171076,8.518912167211512,0.92745535927974,0.1239008125449903,0.0544666666666666,3.337444522918952,0.649138714963968,0.0,16.886735801296332,7.487057129848155,0.0246106641024651,0.0218851822536599,0.6785356783149401,0.1417388764786697,0.123624884593237,57.60763249652116,0.5599,3.5927319138836817,3.454965402590891,3.730498425176473,1.07974986446402,0.5554248117873568,19.859319730083342,30000.0,0.01,0.718166666666667,0.3178061222222222
1494_qsar-biodeg,Defaults,2.0,41.0,41.0,0.0,1052.0,0.038973,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.336502,0.663498,0.5,0.231221,3.710539,3.710539,37.876992,37.876992,0.166348,0.703039,1.0,0.638688,0.921432,0.892581,0.257544,0.638688,0.037345,17.102447,22.901061,16.0,17.0,0.390244,0.015209,0.058824,2.0,6.0,4.0,1.511858,3.0,9.0,6.235294,2.016476,0.0,2.0,0.390244,0.586432,0.707224,0.663498,0.745247,0.676737,0.023878,0.663498,0.680577,0.840304,0.419,3.395,0.0,0.08,0.336,0.685,0.197,0.26,0.272,0.597,0.16,0.159,0.999,25.659,66894.0,126.81327,0.120316,699.0,2e-06,340.988626,0.194854,0.690475,2.206369,0.5143074803215864,0.243026285163673,-0.0218329087557856,0.0211416510029209,0.7099520976304896,1.4881758539996417,1.4324108542033789,4.879482565121821,15.664172784255902,2.1541177386723267,0.001,499.9999995,2.084941663781994,0.5463515450515017,0.3434574326974723,0.0381991327854966,25.0,1.0,-0.0975808518501341,0.9983156141981726,0.3693554027273108,1.070612460444296,-0.7259380479416984,69.60555003613905,170.5972066119088,0.7553573711311298,0.1705866500521006,6.666666666666667e-05,2.450913849877383,0.2352253839282985,0.0,12.87881405904708,5.657246923918806,0.0153577509143035,0.0044833290070494,0.3407463813652879,0.0793115456765594,0.1495911656916516,74.53981240368199,0.2615333333333333,2.55420718233938,2.2810295662124354,2.827384798466325,1.239521328590165,0.4072561217832405,-59.85657775101862,30000.0,0.497607655502392,0.875293866455733,0.5892804072686281
1495_qualitative-bankruptcy,Tuning,2.0,6.0,0.0,6.0,250.0,0.024,0.0,1.0,2.0,3.0,2.857143,0.377964,20.0,0.428,0.572,0.5,0.101823,0.0,1.71359,3.0,6.513243,0.235517,0.979367,1.0,0.682743,0.98499,1.070792,0.974677,1.495913,0.257621,2.650181,3.156456,1.0,2.0,0.166667,0.004,0.5,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.166667,0.408248,1.0,0.592,0.984,0.783333,0.165204,0.64,0.892,0.992,0.056,0.276,0.5,0.515,0.515,0.486,0.243,0.5,0.058,0.613,0.019,0.024,1.0,17.167,3979.0,31.832,0.127839,143.0,3.3e-05,72.02,0.212391,0.590019,2.443219,0.4192010580578028,0.1840559679824213,-0.0197983190971098,0.0188707987928223,0.6177482280471973,2.03463121602606,2.0341461431442034,7.679299261918641,15.699454071162906,1.306157206399959,0.001,499.9999995,1.3057976634710744,0.8271609053635122,0.3419083023735144,0.0389651214581055,25.0,1.0,0.0298287502736313,0.9966667295065188,0.3668251546796331,1.5215318147207793,0.3651762232230688,3.2540829039923356,6.948251840145797,0.9209222918008582,0.1661161036406118,0.7882333333333333,2.1352411862706577,-0.0618689429909264,7.712983906431037e-27,16.779071206834658,7.650652052196323,-0.0029664617755061,0.0006614054386775,0.1550694163263326,0.0697906501411085,0.2197377190972459,83.29602079844692,0.1082333333333333,3.140132378971535,2.803781899628884,3.476482858314186,1.2399262791350147,0.4969479570685772,-12.422896798124128,30000.0,0.5,1.0,0.5923850485967334
1496_ringnorm,Tuning,2.0,20.0,20.0,0.0,7400.0,0.002703,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.495135,0.504865,0.5,0.00688,0.08585,0.08585,3.303942,3.303942,0.012855,0.537062,1.0,0.6931,0.999932,2.088017,0.468759,0.6931,0.083291,8.321465,24.069051,10.0,11.0,0.5,0.001351,0.090909,2.0,2.0,2.0,0.0,2.0,11.0,6.909091,3.176619,0.0,1.0,0.5,0.512989,0.98,0.585135,0.614595,0.601946,0.007231,0.601892,0.597838,0.754054,0.05,0.012,1e-06,0.054,0.406,0.721,0.232,0.2,0.442,0.866,0.246,0.28,1.0,370.0,3310396.0,894.701622,0.120922,3736.0,0.0,1421.061216,0.224257,0.510606,1.596722,0.4771291578631492,0.302579530713551,-0.0277222152615692,0.0201835631841195,0.6419681579997216,1.539572499512961,1.517722427958821,5.214689889684978,15.609362222245077,1.8942800061876643,0.001,499.9999995,1.6936337581894736,0.6419880662688756,0.3818036443864541,0.0409313747551652,25.0,1.0,-0.1856618394579539,0.9980467795353324,0.4284560999367581,0.779226827376868,-1.2881332956760772,131.9617220294188,417.60045089642426,0.3438551491419052,0.4682712376887497,0.0001666666666666,3.16455745252645,-0.2318434495827085,0.0,11.557167269729584,4.404439625002081,-0.0225535074171705,0.0069554435971216,0.2770301036337097,0.0613336896765742,0.2755986411678296,70.64599550789335,0.1403,2.7911898096696492,2.196098128969634,3.3862814903696643,1.5419536339010946,0.4457893708811964,-50.0248818377564,30000.0,0.499851323223312,0.981430402416467,0.6463013259236873
1497_wall-robot-navigation,Tuning,4.0,4.0,4.0,0.0,5406.0,0.00074,1.0,0.0,4.0,4.0,4.0,0.0,4.0,0.060673,0.407325,0.25,0.172799,1.771276,1.771276,11.509324,11.509324,0.188209,0.688241,0.54302,1.184892,0.854719,1.740969,0.404494,1.184892,0.310324,3.81824,4.610164,3.0,4.0,0.75,0.000555,0.25,2.0,2.0,2.0,0.0,2.0,4.0,3.25,0.957427,0.0,2.0,0.75,0.957427,0.891232,0.407325,0.792638,0.561922,0.165172,0.407325,0.597916,0.973363,0.878,0.3005,0.004,1.0,1.0,0.49875,0.25,0.5,0.062,0.116,0.027,0.114,0.967,1351.5,1943522.0,712.434751,0.130602,2205.0,0.0,885.41239,0.240631,0.809149,2.155249,0.5660091690468176,0.288786992409218,-0.0177223145110902,0.0254076667210953,0.778724835102579,0.9387433885352644,0.8724626547786742,-0.7811915956991076,15.632567517793804,2.5577517686655313,0.001,499.9999995,2.236173160030454,0.3739124637487916,0.3422583167974933,0.0404712972829434,25.0,1.0,-0.2497782558316199,0.9996157327602772,0.3577633889809916,0.8673169062723265,-0.8662009220617697,2.084370435779895,3.156148519250887,0.936936645156852,0.1314340329911978,0.376,1.5141975078285246,0.5112144671942661,0.0,14.089628514347838,6.555700048601352,0.0278986070108522,0.0338563707626068,0.4536984769123842,0.0557293659229946,0.0777449518478363,58.052329894220115,0.4082,4.213701356356447,3.408363606339392,5.019039106373502,1.4725656315062332,0.6246637519929906,90.112731994097,30000.0,0.25,0.920123181488129,0.4426925617065259
1498_sa-heart,Tuning,2.0,9.0,8.0,1.0,462.0,0.019481,0.888889,0.111111,2.0,2.0,2.0,0.0,4.0,0.34632,0.65368,0.5,0.217336,1.044785,0.994834,5.015073,4.612205,0.180293,0.485813,1.0,0.645139,0.930739,1.32992,0.520865,0.71645,0.03136,20.571869,41.40783,8.0,9.0,0.888889,0.017316,0.111111,2.0,6.0,3.2,1.788854,3.0,6.0,4.444444,1.013794,0.0,2.0,0.888889,0.781736,0.718615,0.65368,0.69697,0.663781,0.016161,0.65368,0.65368,0.645022,0.392,0.495,0.359,0.05,0.091,0.726,0.346,0.5,0.5,0.886,0.355,0.311,0.998,51.333,12586.0,54.484848,0.118188,302.0,1.1e-05,132.794372,0.235734,0.594436,2.056676,0.4179450658587381,0.2643962453748293,-0.0128362516475211,0.0122788198128791,0.6161827464353156,1.8568293185403997,1.84191687418055,6.978955946520159,15.693808097582414,1.5772670137126217,0.01,49.999999995,1.5049641401561136,0.7122904096803226,0.2132270038124114,0.0283018330896237,25.0,1.0,0.0014315266374008,0.9737653469466614,0.2390943227026135,1.6339032602601395,1.027059621162623,100.20980412839432,177.60978989815624,0.9364381861156544,0.0830115183637457,3.3333333333333335e-05,1.772379373884326,-0.2197659743996908,0.0,12.06331424704624,4.872299424574688,-0.0107843555393749,0.0002495015613052,0.2104653160042809,0.1433136455588761,0.3247234694900815,82.26395977195959,0.1400333333333333,2.6027856345114975,2.5415956563624142,2.663975612660581,1.0481508362633385,0.4154384010781201,-60.618280927583825,30000.0,0.465923890923891,0.708679283679284,0.5298767621421788
